0.0000e+00	2.1347e-18
3.3333e-01	2.7883e-18
6.6667e-01	1.5408e-18
1.0000e+00	6.0340e-19
1.3333e+00	2.4157e-19
1.6667e+00	1.1974e-19
2.0000e+00	1.2167e-19
2.3333e+00	9.9198e-20
2.6667e+00	1.0216e-19
3.0000e+00	1.3197e-19
3.3333e+00	1.1747e-19
3.6667e+00	9.9834e-20
4.0000e+00	8.3063e-20
4.3333e+00	6.9170e-20
4.6667e+00	9.3472e-20
5.0000e+00	8.8524e-20
5.3333e+00	7.9142e-20
5.6667e+00	1.2117e-19
6.0000e+00	1.6093e-19
6.3333e+00	2.7670e-19
6.6667e+00	2.2620e-19
7.0000e+00	1.9458e-19
7.3333e+00	3.2793e-19
7.6667e+00	3.0929e-19
8.0000e+00	3.3709e-19
8.3333e+00	4.1655e-19
8.6667e+00	2.5288e-19
9.0000e+00	2.0849e-19
9.3333e+00	1.3876e-19
9.6667e+00	1.3274e-19
1.0000e+01	2.3962e-19
1.0333e+01	3.8650e-19
1.0667e+01	4.3013e-19
1.1000e+01	3.4479e-19
1.1333e+01	3.8538e-19
1.1667e+01	1.2880e-18
1.2000e+01	1.4897e-18
1.2333e+01	7.9846e-19
1.2667e+01	8.1388e-19
1.3000e+01	1.1872e-18
1.3333e+01	1.0047e-18
1.3667e+01	1.9809e-18
1.4000e+01	4.4817e-18
1.4333e+01	3.8250e-18
1.4667e+01	3.7452e-18
1.5000e+01	3.4259e-18
1.5333e+01	3.7839e-18
1.5667e+01	4.7091e-18
1.6000e+01	5.3644e-18
1.6333e+01	3.1877e-18
1.6667e+01	4.3749e-18
1.7000e+01	6.2224e-18
1.7333e+01	1.4525e-17
1.7667e+01	1.3004e-17
1.8000e+01	4.5054e-18
1.8333e+01	3.7502e-18
1.8667e+01	4.5900e-18
1.9000e+01	1.9120e-18
1.9333e+01	6.4526e-19
1.9667e+01	4.6255e-19
2.0000e+01	5.8676e-19
2.0333e+01	5.3587e-19
2.0667e+01	4.5502e-19
2.1000e+01	4.0083e-19
2.1333e+01	3.1131e-19
2.1667e+01	4.2185e-19
2.2000e+01	9.7272e-19
2.2333e+01	5.2290e-19
2.2667e+01	1.2931e-19
2.3000e+01	1.5071e-19
